chrom	length	bases	mean	min	max
1	41732233	1642115858	39.35	0	32003
2	47849963	1685407044	35.22	0	14641
3	50382502	1706909612	33.88	0	15095
4	39677845	1445639798	36.43	0	14673
5	46702114	1728483461	37.01	0	28099
6	36371416	1403867320	38.60	0	37007
7	35460007	1645516571	46.40	0	42112
8	40988899	1374759727	33.54	0	15707
9	56381885	2391625029	42.42	0	16447
ML552055	47661	142101	2.98	0	46
ML552056	46909	1525573	32.52	0	305
ML552057	40232	5154715	128.12	0	2262
ML552058	28202	3540945	125.56	0	2912
ML552059	21634	1095026	50.62	0	1678
total	395731502	15035782780	37.99	0	42112
