chrom	length	bases	mean	min	max
1	41732233	1296902178	31.08	0	29320
2	47849963	1265740531	26.45	0	20366
3	50382502	1272261871	25.25	0	21278
4	39677845	1143477363	28.82	0	21292
5	46702114	1320820198	28.28	0	25915
6	36371416	1091139601	30.00	0	28809
7	35460007	1263185511	35.62	0	36976
8	40988899	1079773973	26.34	0	21475
9	56381885	2039042431	36.16	0	23175
ML552055	47661	96783	2.03	0	33
ML552056	46909	809350	17.25	0	109
ML552057	40232	9807548	243.77	0	12453
ML552058	28202	2442553	86.61	0	2009
ML552059	21634	911695	42.14	0	1316
total	395731502	11786411586	29.78	0	36976
