chrom	length	bases	mean	min	max
1	41732233	1231524008	29.51	0	36000
2	47849963	1183045008	24.72	0	24015
3	50382502	1185592121	23.53	0	25509
4	39677845	1088429791	27.43	0	26011
5	46702114	1222101068	26.17	0	24999
6	36371416	1023340380	28.14	0	39813
7	35460007	1193334311	33.65	0	26156
8	40988899	990862708	24.17	0	25923
9	56381885	2014489831	35.73	0	27467
ML552055	47661	226543	4.75	0	76
ML552056	46909	1087734	23.19	0	226
ML552057	40232	7633873	189.75	0	7739
ML552058	28202	3418680	121.22	0	2600
ML552059	21634	939573	43.43	0	1450
total	395731502	11146025629	28.17	0	39813
