chrom	length	bases	mean	min	max
1	41732233	1411182244	33.82	0	25237
2	47849963	1529273328	31.96	0	28039
3	50382502	1558444992	30.93	0	16671
4	39677845	1238433475	31.21	0	16892
5	46702114	1400609194	29.99	0	20794
6	36371416	1250800015	34.39	0	18775
7	35460007	1394300212	39.32	0	23092
8	40988899	1094545669	26.70	0	16755
9	56381885	2090285784	37.07	0	17718
ML552055	47661	56048	1.18	0	18
ML552056	46909	963344	20.54	0	129
ML552057	40232	5849841	145.40	0	1833
ML552058	28202	3353252	118.90	0	2447
ML552059	21634	1135760	52.50	0	1093
total	395731502	12979233158	32.80	0	28039
