chrom	length	bases	mean	min	max
1	41732233	1201496182	28.79	0	29995
2	47849963	1179199270	24.64	0	20240
3	50382502	1159673268	23.02	0	21070
4	39677845	1042920093	26.28	0	23322
5	46702114	1211485106	25.94	0	20784
6	36371416	1045505558	28.75	0	26755
7	35460007	1158735080	32.68	0	22377
8	40988899	980421794	23.92	0	21782
9	56381885	1935646103	34.33	0	23295
ML552055	47661	160727	3.37	0	37
ML552056	46909	952637	20.31	0	152
ML552057	40232	5105068	126.89	0	4695
ML552058	28202	2650667	93.99	0	2050
ML552059	21634	626455	28.96	0	877
total	395731502	10924578008	27.61	0	29995
