chrom	length	bases	mean	min	max
1	41732233	1324501152	31.74	0	34742
2	47849963	1532716872	32.03	0	31280
3	50382502	1410008047	27.99	0	15057
4	39677845	1193000240	30.07	0	9860
5	46702114	1466704939	31.41	0	24916
6	36371416	1061755990	29.19	0	13014
7	35460007	1344192193	37.91	0	30005
8	40988899	1129916168	27.57	0	8723
9	56381885	1908874114	33.86	0	10590
ML552055	47661	56224	1.18	0	36
ML552056	46909	1307618	27.88	0	215
ML552057	40232	27621621	686.56	0	22313
ML552058	28202	3355380	118.98	0	2445
ML552059	21634	1408052	65.09	0	1000
total	395731502	12405418610	31.35	0	34742
