chrom	length	bases	mean	min	max
1	41732233	962031293	23.05	0	21369
2	47849963	914492622	19.11	0	20812
3	50382502	922831147	18.32	0	21786
4	39677845	862348661	21.73	0	22210
5	46702114	967125868	20.71	0	21792
6	36371416	823608947	22.64	0	35253
7	35460007	921890080	26.00	0	22767
8	40988899	797996087	19.47	0	22123
9	56381885	1634465491	28.99	0	23993
ML552055	47661	69075	1.45	0	23
ML552056	46909	592651	12.63	0	78
ML552057	40232	9295002	231.04	0	14222
ML552058	28202	1982615	70.30	0	1479
ML552059	21634	644584	29.79	0	934
total	395731502	8819374123	22.29	0	35253
