chrom	length	bases	mean	min	max
1	41732233	1166620070	27.95	0	30947
2	47849963	1100483999	23.00	0	10240
3	50382502	1188622583	23.59	0	10408
4	39677845	935548046	23.58	0	10208
5	46702114	1125007518	24.09	0	23557
6	36371416	919850841	25.29	0	41897
7	35460007	1047981986	29.55	0	10995
8	40988899	938799398	22.90	0	10959
9	56381885	1563600256	27.73	0	11515
ML552055	47661	64199	1.35	0	17
ML552056	46909	976522	20.82	0	197
ML552057	40232	5946942	147.82	0	6271
ML552058	28202	2235529	79.27	0	1769
ML552059	21634	730283	33.76	0	1073
total	395731502	9996468172	25.26	0	41897
