chrom	length	bases	mean	min	max
1	41732233	1106462182	26.51	0	26700
2	47849963	1039268479	21.72	0	26094
3	50382502	1046860699	20.78	0	28048
4	39677845	986456819	24.86	0	28512
5	46702114	1103398768	23.63	0	26710
6	36371416	936228398	25.74	0	39417
7	35460007	1031860584	29.10	0	28114
8	40988899	905995351	22.10	0	28487
9	56381885	1920335563	34.06	0	29706
ML552055	47661	73584	1.54	0	18
ML552056	46909	673583	14.36	0	110
ML552057	40232	8334774	207.17	0	11489
ML552058	28202	1886630	66.90	0	1517
ML552059	21634	764344	35.33	0	1082
total	395731502	10088599758	25.49	0	39417
