chrom	length	bases	mean	min	max
1	41732233	1506562364	36.10	0	42824
2	47849963	1575960754	32.94	0	22299
3	50382502	1527013776	30.31	0	19161
4	39677845	1308106126	32.97	0	19958
5	46702114	1538813866	32.95	0	25788
6	36371416	1190630252	32.74	0	21469
7	35460007	1352393296	38.14	0	19667
8	40988899	1232850830	30.08	0	19964
9	56381885	2240415818	39.74	0	20768
ML552055	47661	115319	2.42	0	36
ML552056	46909	1346945	28.71	0	270
ML552057	40232	24358406	605.45	0	25226
ML552058	28202	1651436	58.56	0	1300
ML552059	21634	1312361	60.66	0	1464
total	395731502	13501531549	34.12	0	42824
