chrom	length	bases	mean	min	max
1	41732233	1147620220	27.50	0	27387
2	47849963	1204665672	25.18	0	22061
3	50382502	1246161906	24.73	0	22120
4	39677845	1029671803	25.95	0	20910
5	46702114	1173449409	25.13	0	22161
6	36371416	902923593	24.83	0	25426
7	35460007	1083475485	30.55	0	22924
8	40988899	962848480	23.49	0	22638
9	56381885	1900735742	33.71	0	25067
ML552055	47661	936944	19.66	0	75
ML552056	46909	1003935	21.40	0	215
ML552057	40232	5540769	137.72	0	5436
ML552058	28202	1554216	55.11	0	1218
ML552059	21634	888685	41.08	0	1343
total	395731502	10661476859	26.94	0	27387
