chrom	length	bases	mean	min	max
1	41732233	2801438301	67.13	0	32367
2	47849963	2693042371	56.28	0	6587
3	50382502	2737229247	54.33	0	17793
4	39677845	2211803544	55.74	0	7448
5	46702114	2752938911	58.95	0	37579
6	36371416	2219722302	61.03	0	54626
7	35460007	2782562163	78.47	0	37964
8	40988899	2201846886	53.72	0	11846
9	56381885	3403313843	60.36	0	14301
ML552055	47661	246707	5.18	0	81
ML552056	46909	1765401	37.63	0	206
ML552057	40232	26769598	665.38	0	26505
ML552058	28202	6521179	231.23	0	3919
ML552059	21634	1673954	77.38	0	2041
total	395731502	23840874407	60.25	0	54626
