chrom	length	bases	mean	min	max
1	41732233	1466005596	35.13	0	28332
2	47849963	1449587281	30.29	0	18597
3	50382502	1458026462	28.94	0	19428
4	39677845	1272115553	32.06	0	20201
5	46702114	1506425461	32.26	0	31662
6	36371416	1216111334	33.44	0	38965
7	35460007	1477898822	41.68	0	31126
8	40988899	1233205535	30.09	0	19778
9	56381885	2216105566	39.31	0	20755
ML552055	47661	104615	2.19	0	34
ML552056	46909	1292850	27.56	0	242
ML552057	40232	4064278	101.02	0	1888
ML552058	28202	3643520	129.19	0	2305
ML552059	21634	807937	37.35	0	1321
total	395731502	13305394810	33.62	0	38965
