chrom	length	bases	mean	min	max
1	41732233	2441470703	58.50	0	34999
2	47849963	2201427633	46.01	0	5615
3	50382502	2260302975	44.86	0	22667
4	39677845	1818481463	45.83	0	6060
5	46702114	2280033137	48.82	0	33711
6	36371416	1825601849	50.19	0	31109
7	35460007	2033707080	57.35	0	28526
8	40988899	1768075438	43.14	0	13709
9	56381885	2795799242	49.59	0	11672
ML552055	47661	405237	8.50	0	81
ML552056	46909	2028048	43.23	0	358
ML552057	40232	14505710	360.55	0	9017
ML552058	28202	2621085	92.94	0	1734
ML552059	21634	1339463	61.91	0	1665
total	395731502	19445799063	49.14	0	34999
