chrom	length	bases	mean	min	max
1	41732233	1038682772	24.89	0	26106
2	47849963	1131709777	23.65	0	17721
3	50382502	1063465864	21.11	0	10239
4	39677845	913483502	23.02	0	10391
5	46702114	1056810168	22.63	0	19071
6	36371416	811663190	22.32	0	13134
7	35460007	1250806384	35.27	0	26112
8	40988899	869785069	21.22	0	10771
9	56381885	1483906817	26.32	0	11632
ML552055	47661	75729	1.59	0	22
ML552056	46909	958802	20.44	0	206
ML552057	40232	3462867	86.07	0	1734
ML552058	28202	7161487	253.94	0	5383
ML552059	21634	861976	39.84	0	1290
total	395731502	9632834404	24.34	0	26112
