chrom	length	bases	mean	min	max
1	41732233	1542147202	36.95	0	17682
2	47849963	1515382275	31.67	0	17570
3	50382502	1520806866	30.19	0	18803
4	39677845	1319679558	33.26	0	19903
5	46702114	1491158451	31.93	0	22632
6	36371416	1276445105	35.09	0	21967
7	35460007	1523044969	42.95	0	29234
8	40988899	1104956292	26.96	0	19155
9	56381885	2206280270	39.13	0	19562
ML552055	47661	158415	3.32	0	30
ML552056	46909	974908	20.78	0	104
ML552057	40232	16183903	402.26	0	18947
ML552058	28202	4556467	161.57	0	3897
ML552059	21634	994707	45.98	0	958
total	395731502	13522769388	34.17	0	29234
