chrom	length	bases	mean	min	max
1	41732233	1268227264	30.39	0	20661
2	47849963	1303118977	27.23	0	23627
3	50382502	1329138226	26.38	0	18951
4	39677845	1100402733	27.73	0	25071
5	46702114	1296576604	27.76	0	21248
6	36371416	1003003213	27.58	0	26958
7	35460007	1173134584	33.08	0	22378
8	40988899	931579769	22.73	0	23603
9	56381885	2026027763	35.93	0	24263
ML552055	47661	682056	14.31	0	45
ML552056	46909	722031	15.39	0	58
ML552057	40232	7135980	177.37	0	5964
ML552058	28202	2085358	73.94	0	1604
ML552059	21634	673088	31.11	0	559
total	395731502	11442507646	28.91	0	26958
