chrom	length	bases	mean	min	max
1	41732233	1751142976	41.96	0	37113
2	47849963	1820806050	38.05	0	22311
3	50382502	1771402740	35.16	0	12748
4	39677845	1396221275	35.19	0	7615
5	46702114	1747744624	37.42	0	30261
6	36371416	1281185804	35.23	0	18451
7	35460007	1673628326	47.20	0	16735
8	40988899	1402921114	34.23	0	10085
9	56381885	2233512120	39.61	0	8427
ML552055	47661	133320	2.80	0	46
ML552056	46909	1061437	22.63	0	118
ML552057	40232	4735673	117.71	0	2275
ML552058	28202	5038577	178.66	0	3597
ML552059	21634	1056966	48.86	0	1593
total	395731502	15090591002	38.13	0	37113
