chrom	length	bases	mean	min	max
1	41732233	1263041906	30.27	0	32334
2	47849963	1209488569	25.28	0	22356
3	50382502	1237685193	24.57	0	23223
4	39677845	1111264924	28.01	0	26371
5	46702114	1271609545	27.23	0	27621
6	36371416	1088372715	29.92	0	47327
7	35460007	1338647832	37.75	0	40194
8	40988899	977037635	23.84	0	24038
9	56381885	2030016124	36.00	0	25671
ML552055	47661	96777	2.03	0	42
ML552056	46909	1108454	23.63	0	209
ML552057	40232	4735238	117.70	0	1878
ML552058	28202	4246003	150.56	0	3464
ML552059	21634	913148	42.21	0	1430
total	395731502	11538264063	29.16	0	47327
