chrom	length	bases	mean	min	max
1	41732233	1322345125	31.69	0	32052
2	47849963	1343769210	28.08	0	15876
3	50382502	1378869208	27.37	0	17742
4	39677845	1172275040	29.54	0	16885
5	46702114	1395137379	29.87	0	25362
6	36371416	1129621875	31.06	0	23617
7	35460007	1196164426	33.73	0	21333
8	40988899	1115060863	27.20	0	16922
9	56381885	2018345656	35.80	0	17554
ML552055	47661	242577	5.09	0	52
ML552056	46909	1238057	26.39	0	245
ML552057	40232	7723587	191.98	0	5740
ML552058	28202	1139480	40.40	0	816
ML552059	21634	882966	40.81	0	1373
total	395731502	12082815449	30.53	0	32052
