chrom	length	bases	mean	min	max
1	41732233	1313425610	31.47	0	26629
2	47849963	1319323095	27.57	0	25693
3	50382502	1285624822	25.52	0	27101
4	39677845	1143541400	28.82	0	27215
5	46702114	1295485779	27.74	0	26038
6	36371416	1017818833	27.98	0	30567
7	35460007	1240840918	34.99	0	28276
8	40988899	1025422660	25.02	0	27875
9	56381885	2141301277	37.98	0	28548
ML552055	47661	212150	4.45	0	50
ML552056	46909	1126097	24.01	0	215
ML552057	40232	3492064	86.80	0	1728
ML552058	28202	2569163	91.10	0	2034
ML552059	21634	872358	40.32	0	1381
total	395731502	11791056226	29.80	0	30567
