chrom	length	bases	mean	min	max
1	41732233	1374430129	32.93	0	20798
2	47849963	1275096858	26.65	0	16444
3	50382502	1240289578	24.62	0	13093
4	39677845	1005085381	25.33	0	3389
5	46702114	1320890141	28.28	0	22635
6	36371416	935404597	25.72	0	8868
7	35460007	1259343462	35.51	0	24284
8	40988899	971984972	23.71	0	9085
9	56381885	1524443128	27.04	0	8489
ML552055	47661	91768	1.93	0	29
ML552056	46909	1082556	23.08	0	182
ML552057	40232	3393724	84.35	0	1382
ML552058	28202	2949271	104.58	0	2227
ML552059	21634	680456	31.45	0	857
total	395731502	10915166021	27.58	0	24284
