chrom	length	bases	mean	min	max
1	41732233	1587520347	38.04	0	29937
2	47849963	1488978433	31.12	0	14758
3	50382502	1734507578	34.43	0	16532
4	39677845	1313577537	33.11	0	15184
5	46702114	1587305345	33.99	0	27051
6	36371416	1358858746	37.36	0	16441
7	35460007	1378136847	38.86	0	15441
8	40988899	1209210968	29.50	0	15813
9	56381885	2231052206	39.57	0	16409
ML552055	47661	83487	1.75	0	31
ML552056	46909	1361796	29.03	0	248
ML552057	40232	10005354	248.69	0	18646
ML552058	28202	2829326	100.32	0	2248
ML552059	21634	11222	0.52	0	26
total	395731502	13903439192	35.13	0	29937
