chrom	length	bases	mean	min	max
1	41732233	1104380470	26.46	0	20038
2	47849963	1023426057	21.39	0	5743
3	50382502	1033446959	20.51	0	7817
4	39677845	821842796	20.71	0	2657
5	46702114	1021375864	21.87	0	15577
6	36371416	758286578	20.85	0	9206
7	35460007	1037755823	29.27	0	32197
8	40988899	815141122	19.89	0	13783
9	56381885	1258329293	22.32	0	4855
ML552055	47661	165061	3.46	0	33
ML552056	46909	975074	20.79	0	184
ML552057	40232	3676075	91.37	0	1332
ML552058	28202	2649940	93.96	0	1782
ML552059	21634	644129	29.77	0	839
total	395731502	8882095241	22.44	0	32197
