chrom	length	bases	mean	min	max
1	41732233	1236806017	29.64	0	25020
2	47849963	1252584913	26.18	0	22221
3	50382502	1207151148	23.96	0	23627
4	39677845	1096104043	27.63	0	23885
5	46702114	1229720064	26.33	0	23380
6	36371416	953589490	26.22	0	26493
7	35460007	1182623679	33.35	0	26433
8	40988899	1007399964	24.58	0	24436
9	56381885	1995651621	35.40	0	25571
ML552055	47661	91397	1.92	0	27
ML552056	46909	1116131	23.79	0	212
ML552057	40232	3272928	81.35	0	1611
ML552058	28202	2580844	91.51	0	2007
ML552059	21634	866169	40.04	0	1307
total	395731502	11169558408	28.23	0	26493
