chrom	length	bases	mean	min	max
1	41732233	1641193957	39.33	0	26028
2	47849963	1695673690	35.44	0	16521
3	50382502	1827714663	36.28	0	16092
4	39677845	1556118105	39.22	0	16763
5	46702114	1788276665	38.29	0	16264
6	36371416	1294222532	35.58	0	21752
7	35460007	1729638156	48.78	0	24065
8	40988899	1273654890	31.07	0	16746
9	56381885	2386778807	42.33	0	17887
ML552055	47661	1419530	29.78	0	100
ML552056	46909	835011	17.80	0	194
ML552057	40232	12693780	315.51	0	4085
ML552058	28202	6236601	221.14	0	4887
ML552059	21634	5417568	250.42	0	2302
total	395731502	15219873955	38.46	0	26028
