chrom	length	bases	mean	min	max
1	41732233	777122625	18.62	0	20339
2	47849963	778052288	16.26	0	13860
3	50382502	723749952	14.37	0	5314
4	39677845	625588113	15.77	0	5629
5	46702114	776460462	16.63	0	14637
6	36371416	572666311	15.74	0	9894
7	35460007	782674068	22.07	0	15045
8	40988899	615080086	15.01	0	5363
9	56381885	991733630	17.59	0	5443
ML552055	47661	51710	1.08	0	24
ML552056	46909	536066	11.43	0	59
ML552057	40232	5792370	143.97	0	8895
ML552058	28202	2371096	84.08	0	1599
ML552059	21634	520084	24.04	0	630
total	395731502	6652398861	16.81	0	20339
