chrom	length	bases	mean	min	max
1	41732233	1390176583	33.31	0	24273
2	47849963	1349922326	28.21	0	16924
3	50382502	1360138933	27.00	0	18476
4	39677845	1184470544	29.85	0	18121
5	46702114	1387719881	29.71	0	20090
6	36371416	1148752970	31.58	0	32928
7	35460007	1322712413	37.30	0	22741
8	40988899	1127051924	27.50	0	20545
9	56381885	2033110220	36.06	0	19724
ML552055	47661	91667	1.92	0	28
ML552056	46909	1182958	25.22	0	200
ML552057	40232	4047236	100.60	0	1953
ML552058	28202	2815398	99.83	0	2320
ML552059	21634	904612	41.81	0	1293
total	395731502	12313097665	31.11	0	32928
