chrom	length	bases	mean	min	max
1	41732233	1565038848	37.50	0	22706
2	47849963	1397671448	29.21	0	4764
3	50382502	1436277209	28.51	0	11111
4	39677845	1157668492	29.18	0	4603
5	46702114	1443919649	30.92	0	25716
6	36371416	1185641211	32.60	0	38326
7	35460007	1406392424	39.66	0	38872
8	40988899	1121311105	27.36	0	20067
9	56381885	1771616767	31.42	0	10245
ML552055	47661	97768	2.05	0	33
ML552056	46909	1338984	28.54	0	259
ML552057	40232	5175562	128.64	0	1937
ML552058	28202	2949865	104.60	0	1686
ML552059	21634	880850	40.72	0	1136
total	395731502	12495980182	31.58	0	38872
