chrom	length	bases	mean	min	max
1	41732233	2516822193	60.31	0	29486
2	47849963	2295208011	47.97	0	5432
3	50382502	2311551479	45.88	0	15579
4	39677845	1878476287	47.34	0	6245
5	46702114	2351178887	50.34	0	32703
6	36371416	1869300857	51.39	0	45343
7	35460007	2213553475	62.42	0	37703
8	40988899	1902670421	46.42	0	15711
9	56381885	2870696750	50.92	0	11649
ML552055	47661	164827	3.46	0	45
ML552056	46909	2056531	43.84	0	337
ML552057	40232	7692977	191.22	0	2745
ML552058	28202	4055011	143.78	0	2086
ML552059	21634	1216154	56.21	0	1590
total	395731502	20224643860	51.11	0	45343
