chrom	length	bases	mean	min	max
1	41732233	1224380415	29.34	0	20524
2	47849963	1391942941	29.09	0	27931
3	50382502	1271369167	25.23	0	13743
4	39677845	1140568960	28.75	0	3423
5	46702114	1250522001	26.78	0	17754
6	36371416	1090584594	29.98	0	9783
7	35460007	1267432864	35.74	0	32603
8	40988899	962520393	23.48	0	15418
9	56381885	1517242740	26.91	0	7774
ML552055	47661	94532	1.98	0	41
ML552056	46909	916983	19.55	0	97
ML552057	40232	10296310	255.92	0	3042
ML552058	28202	3536296	125.39	0	1852
ML552059	21634	3954287	182.78	0	1844
total	395731502	11135362483	28.14	0	32603
