chrom	length	bases	mean	min	max
1	41732233	1400026098	33.55	0	24254
2	47849963	1440350512	30.10	0	22251
3	50382502	1398006558	27.75	0	23485
4	39677845	1218480231	30.71	0	25549
5	46702114	1405517954	30.10	0	22954
6	36371416	1107401206	30.45	0	29190
7	35460007	1311088974	36.97	0	24963
8	40988899	1122907516	27.40	0	23831
9	56381885	2196104534	38.95	0	25209
ML552055	47661	115374	2.42	0	32
ML552056	46909	972148	20.72	0	135
ML552057	40232	3330484	82.78	0	1718
ML552058	28202	2836983	100.60	0	2245
ML552059	21634	868265	40.13	0	1277
total	395731502	12608006837	31.86	0	29190
