chrom	length	bases	mean	min	max
1	41732233	1175120708	28.16	0	34543
2	47849963	1144703615	23.92	0	28341
3	50382502	1093307562	21.70	0	30583
4	39677845	1028552721	25.92	0	29967
5	46702114	1142379584	24.46	0	29863
6	36371416	956477062	26.30	0	34466
7	35460007	1060427951	29.90	0	28699
8	40988899	930150964	22.69	0	30822
9	56381885	2040910364	36.20	0	32943
ML552055	47661	73883	1.55	0	20
ML552056	46909	709876	15.13	0	117
ML552057	40232	21508639	534.62	0	30125
ML552058	28202	1946567	69.02	0	1457
ML552059	21634	883727	40.85	0	1066
total	395731502	10597153223	26.78	0	34543
