chrom	length	bases	mean	min	max
1	41732233	1523670546	36.51	0	33410
2	47849963	1567154823	32.75	0	14699
3	50382502	1481848208	29.41	0	14879
4	39677845	1258249143	31.71	0	14901
5	46702114	1467330525	31.42	0	25422
6	36371416	1346211930	37.01	0	16275
7	35460007	1494471825	42.15	0	18268
8	40988899	1148686228	28.02	0	15951
9	56381885	2149416162	38.12	0	16173
ML552055	47661	184204	3.86	0	50
ML552056	46909	1010876	21.55	0	112
ML552057	40232	10549961	262.23	0	8026
ML552058	28202	4463323	158.26	0	3537
ML552059	21634	1043470	48.23	0	1555
total	395731502	13454291224	34.00	0	33410
