chrom	length	bases	mean	min	max
1	41732233	1401428003	33.58	0	27101
2	47849963	1506785029	31.49	0	18826
3	50382502	1430502599	28.39	0	14361
4	39677845	1216646114	30.66	0	14863
5	46702114	1434892221	30.72	0	20682
6	36371416	1291809606	35.52	0	17576
7	35460007	1359007776	38.33	0	28417
8	40988899	1148325040	28.02	0	14854
9	56381885	2063374853	36.60	0	15997
ML552055	47661	100471	2.11	0	36
ML552056	46909	1314728	28.03	0	253
ML552057	40232	4193012	104.22	0	1898
ML552058	28202	3022350	107.17	0	2366
ML552059	21634	1060509	49.02	0	1577
total	395731502	12862462311	32.50	0	28417
