chrom	length	bases	mean	min	max
1	41732233	1339507226	32.10	0	41710
2	47849963	1327152649	27.74	0	24093
3	50382502	1292751494	25.66	0	25464
4	39677845	1148544720	28.95	0	25255
5	46702114	1310337431	28.06	0	25316
6	36371416	1026502295	28.22	0	29059
7	35460007	1181192644	33.31	0	26336
8	40988899	1063420732	25.94	0	26304
9	56381885	2120648838	37.61	0	27491
ML552055	47661	87037	1.83	0	29
ML552056	46909	1154421	24.61	0	271
ML552057	40232	22153788	550.65	0	25692
ML552058	28202	2117802	75.09	0	1687
ML552059	21634	1216382	56.23	0	1520
total	395731502	11836787459	29.91	0	41710
