chrom	length	bases	mean	min	max
1	41732233	1077058922	25.81	0	27389
2	47849963	1034131964	21.61	0	22080
3	50382502	1042380337	20.69	0	22576
4	39677845	963126706	24.27	0	23939
5	46702114	1086027563	23.25	0	22141
6	36371416	873912509	24.03	0	27098
7	35460007	1167233427	32.92	0	23472
8	40988899	902980250	22.03	0	23615
9	56381885	1806440421	32.04	0	25038
ML552055	47661	67232	1.41	0	27
ML552056	46909	939290	20.02	0	183
ML552057	40232	2985339	74.20	0	1330
ML552058	28202	4398943	155.98	0	3537
ML552059	21634	679159	31.39	0	1022
total	395731502	9962362062	25.17	0	27389
