chrom	length	bases	mean	min	max
1	41732233	1462185522	35.04	0	25481
2	47849963	1484861409	31.03	0	19803
3	50382502	1498021249	29.73	0	20043
4	39677845	1364941067	34.40	0	22287
5	46702114	1545385855	33.09	0	24311
6	36371416	1291532663	35.51	0	46598
7	35460007	1472141633	41.52	0	40841
8	40988899	1213771088	29.61	0	20621
9	56381885	2270246779	40.27	0	22614
ML552055	47661	144280	3.03	0	52
ML552056	46909	984572	20.99	0	142
ML552057	40232	22377166	556.20	0	22524
ML552058	28202	2866657	101.65	0	2282
ML552059	21634	8106	0.37	0	13
total	395731502	13629468046	34.44	0	46598
