chrom	length	bases	mean	min	max
1	41732233	1549660313	37.13	0	34813
2	47849963	1619402911	33.84	0	10912
3	50382502	1607502781	31.91	0	13766
4	39677845	1354993320	34.15	0	11628
5	46702114	1639787002	35.11	0	26996
6	36371416	1315178672	36.16	0	25169
7	35460007	1501653100	42.35	0	35407
8	40988899	1316112349	32.11	0	11886
9	56381885	2166148148	38.42	0	11913
ML552055	47661	108585	2.28	0	36
ML552056	46909	1124724	23.98	0	177
ML552057	40232	14995886	372.74	0	17089
ML552058	28202	2606853	92.44	0	2084
ML552059	21634	1184592	54.76	0	1467
total	395731502	14090459236	35.61	0	35407
