chrom	length	bases	mean	min	max
1	41732233	1171815223	28.08	0	41363
2	47849963	1202277820	25.13	0	21769
3	50382502	1167520495	23.17	0	22110
4	39677845	1034601545	26.08	0	22360
5	46702114	1177682964	25.22	0	21502
6	36371416	933168429	25.66	0	25999
7	35460007	1111279702	31.34	0	22281
8	40988899	961100009	23.45	0	22533
9	56381885	1894712705	33.60	0	25102
ML552055	47661	86931	1.82	0	38
ML552056	46909	1001557	21.35	0	202
ML552057	40232	21442158	532.96	0	23789
ML552058	28202	2598526	92.14	0	1961
ML552059	21634	1163489	53.78	0	1341
total	395731502	10680451553	26.99	0	41363
