chrom	length	bases	mean	min	max
1	41732233	1443904896	34.60	0	23913
2	47849963	1505953071	31.47	0	27353
3	50382502	1543315786	30.63	0	16963
4	39677845	1219077200	30.72	0	15761
5	46702114	1418471289	30.37	0	19572
6	36371416	1208972759	33.24	0	19548
7	35460007	1473096616	41.54	0	22515
8	40988899	1088860965	26.56	0	17641
9	56381885	2090500823	37.08	0	18587
ML552055	47661	1088838	22.85	0	57
ML552056	46909	923147	19.68	0	112
ML552057	40232	9660253	240.11	0	8623
ML552058	28202	5103175	180.95	0	4097
ML552059	21634	996477	46.06	0	957
total	395731502	13009925295	32.88	0	27353
