chrom	length	bases	mean	min	max
1	41732233	1303330787	31.23	0	21339
2	47849963	1392752070	29.11	0	23993
3	50382502	1281749518	25.44	0	15129
4	39677845	1115863011	28.12	0	15092
5	46702114	1346877694	28.84	0	16152
6	36371416	1114419776	30.64	0	16621
7	35460007	1234856011	34.82	0	23479
8	40988899	996885838	24.32	0	15558
9	56381885	1927377754	34.18	0	16018
ML552055	47661	133260	2.80	0	27
ML552056	46909	785897	16.75	0	85
ML552057	40232	6750671	167.79	0	6823
ML552058	28202	3246155	115.10	0	2651
ML552059	21634	831753	38.45	0	804
total	395731502	11725860195	29.63	0	23993
