chrom	length	bases	mean	min	max
1	41732233	1619138384	38.80	0	20694
2	47849963	1504139308	31.43	0	27050
3	50382502	1381220382	27.41	0	14101
4	39677845	1168755330	29.46	0	4034
5	46702114	1456696164	31.19	0	17851
6	36371416	1090858945	29.99	0	18872
7	35460007	1387966932	39.14	0	21062
8	40988899	1079169450	26.33	0	8523
9	56381885	1724331144	30.58	0	8375
ML552055	47661	91116	1.91	0	36
ML552056	46909	729181	15.54	0	78
ML552057	40232	3261221	81.06	0	2580
ML552058	28202	3525428	125.01	0	2620
ML552059	21634	137095	6.34	0	132
total	395731502	12420020080	31.38	0	27050
