chrom	length	bases	mean	min	max
1	41732233	1286967584	30.84	0	28378
2	47849963	1248114087	26.08	0	21268
3	50382502	1266507291	25.14	0	22260
4	39677845	1133881316	28.58	0	24297
5	46702114	1302396631	27.89	0	24081
6	36371416	1111348974	30.56	0	41699
7	35460007	1468359498	41.41	0	27287
8	40988899	1082555541	26.41	0	22951
9	56381885	2039657964	36.18	0	24145
ML552055	47661	85836	1.80	0	33
ML552056	46909	1115173	23.77	0	214
ML552057	40232	3789757	94.20	0	1768
ML552058	28202	6627505	235.00	0	5339
ML552059	21634	903156	41.75	0	1327
total	395731502	11952310313	30.20	0	41699
