chrom	length	bases	mean	min	max
1	41732233	1893014820	45.36	0	28902
2	47849963	2019320232	42.20	0	36822
3	50382502	1928260861	38.27	0	18743
4	39677845	1728889382	43.57	0	18436
5	46702114	1881909179	40.30	0	23388
6	36371416	1599691799	43.98	0	19238
7	35460007	1925282500	54.29	0	39902
8	40988899	1470014083	35.86	0	18930
9	56381885	2684521287	47.61	0	19564
ML552055	47661	92444	1.94	0	33
ML552056	46909	1130903	24.11	0	61
ML552057	40232	19142285	475.80	0	11719
ML552058	28202	6287047	222.93	0	4825
ML552059	21634	6328450	292.52	0	2831
total	395731502	17163885272	43.37	0	39902
