chrom	length	bases	mean	min	max
1	41732233	1240198999	29.72	0	34238
2	47849963	1233647513	25.78	0	16542
3	50382502	1280753660	25.42	0	17569
4	39677845	1098042264	27.67	0	17896
5	46702114	1268728902	27.17	0	25095
6	36371416	1045473574	28.74	0	36968
7	35460007	1256800235	35.44	0	30203
8	40988899	1013470143	24.73	0	17959
9	56381885	1941934321	34.44	0	19396
ML552055	47661	78980	1.66	0	29
ML552056	46909	1057501	22.54	0	203
ML552057	40232	7211092	179.24	0	14017
ML552058	28202	3253369	115.36	0	2645
ML552059	21634	55928	2.59	0	121
total	395731502	11390706481	28.78	0	36968
