chrom	length	bases	mean	min	max
1	41732233	1667201162	39.95	0	24590
2	47849963	1702270192	35.58	0	16105
3	50382502	1681169260	33.37	0	16040
4	39677845	1444080690	36.40	0	17093
5	46702114	1720911618	36.85	0	34820
6	36371416	1302384551	35.81	0	20036
7	35460007	1584090105	44.67	0	27128
8	40988899	1357314445	33.11	0	17080
9	56381885	2380953670	42.23	0	18575
ML552055	47661	418332	8.78	0	90
ML552056	46909	792499	16.89	0	197
ML552057	40232	2459199	61.13	0	1636
ML552058	28202	3176254	112.63	0	2373
ML552059	21634	15553	0.72	0	21
total	395731502	14847237530	37.52	0	34820
