chrom	length	bases	mean	min	max
1	41732233	1908249887	45.73	0	37803
2	47849963	1942742875	40.60	0	26768
3	50382502	1998286995	39.66	0	22241
4	39677845	1612053992	40.63	0	19753
5	46702114	1875961798	40.17	0	30419
6	36371416	1425851229	39.20	0	22757
7	35460007	1751716363	49.40	0	30337
8	40988899	1454605204	35.49	0	20704
9	56381885	2605227830	46.21	0	22143
ML552055	47661	353582	7.42	0	63
ML552056	46909	1117463	23.82	0	57
ML552057	40232	25036019	622.29	0	25038
ML552058	28202	3837791	136.08	0	3058
ML552059	21634	21668	1.00	0	52
total	395731502	16605062696	41.96	0	37803
