chrom	length	bases	mean	min	max
1	41732233	1303641689	31.24	0	26497
2	47849963	1204867528	25.18	0	18904
3	50382502	1262753738	25.06	0	19832
4	39677845	1130942918	28.50	0	21184
5	46702114	1267715356	27.14	0	24478
6	36371416	1045436399	28.74	0	38462
7	35460007	1247648577	35.18	0	20144
8	40988899	1027951854	25.08	0	20202
9	56381885	1944330794	34.49	0	21231
ML552055	47661	72706	1.53	0	24
ML552056	46909	1142778	24.36	0	209
ML552057	40232	9666609	240.27	0	19406
ML552058	28202	3784507	134.19	0	3151
ML552059	21634	8980	0.42	0	15
total	395731502	11449964433	28.93	0	38462
