chrom	length	bases	mean	min	max
1	41732233	1661616205	39.82	0	21627
2	47849963	1845700043	38.57	0	6366
3	50382502	1798830374	35.70	0	7362
4	39677845	1401360554	35.32	0	6428
5	46702114	1844643882	39.50	0	9686
6	36371416	1450891354	39.89	0	7443
7	35460007	1494085301	42.13	0	15366
8	40988899	1341218639	32.72	0	9258
9	56381885	2358209416	41.83	0	7336
ML552055	47661	124779	2.62	0	41
ML552056	46909	1812845	38.65	0	383
ML552057	40232	3597487	89.42	0	1625
ML552058	28202	1958683	69.45	0	1459
ML552059	21634	477707	22.08	0	730
total	395731502	15204527269	38.42	0	21627
