chrom	length	bases	mean	min	max
1	41732233	1402821659	33.61	0	36217
2	47849963	1544384868	32.28	0	25074
3	50382502	1508182524	29.93	0	13776
4	39677845	1211620962	30.54	0	7773
5	46702114	1482802051	31.75	0	24738
6	36371416	1138234779	31.29	0	18088
7	35460007	1415552525	39.92	0	21345
8	40988899	1196351150	29.19	0	12272
9	56381885	1893997711	33.59	0	10573
ML552055	47661	114946	2.41	0	58
ML552056	46909	1355191	28.89	0	214
ML552057	40232	29109112	723.53	0	22863
ML552058	28202	3189720	113.10	0	2267
ML552059	21634	1705070	78.81	0	1727
total	395731502	12829422268	32.42	0	36217
