chrom	length	bases	mean	min	max
1	41732233	1352397220	32.41	0	24339
2	47849963	1480481961	30.94	0	21448
3	50382502	1402728241	27.84	0	12202
4	39677845	1167748701	29.43	0	8891
5	46702114	1386145013	29.68	0	27040
6	36371416	1048803522	28.84	0	9824
7	35460007	1376250902	38.81	0	27978
8	40988899	1116433073	27.24	0	15495
9	56381885	1856600132	32.93	0	8635
ML552055	47661	389017	8.16	0	236
ML552056	46909	686596	14.64	0	117
ML552057	40232	5420681	134.74	0	2204
ML552058	28202	3146281	111.56	0	2082
ML552059	21634	1028383	47.54	0	1286
total	395731502	12198259723	30.82	0	27978
