chrom	length	bases	mean	min	max
1	41732233	1418708309	34.00	0	31669
2	47849963	1347907273	28.17	0	2903
3	50382502	1387424952	27.54	0	12418
4	39677845	1104099284	27.83	0	3548
5	46702114	1459271583	31.25	0	32614
6	36371416	1033077905	28.40	0	13822
7	35460007	1546118063	43.60	0	22225
8	40988899	1121928783	27.37	0	7630
9	56381885	1676148279	29.73	0	7780
ML552055	47661	122813	2.58	0	50
ML552056	46909	989564	21.10	0	127
ML552057	40232	12047899	299.46	0	7324
ML552058	28202	5884885	208.67	0	3821
ML552059	21634	977243	45.17	0	1201
total	395731502	12114706835	30.61	0	32614
