chrom	length	bases	mean	min	max
1	41732233	1184171796	28.38	0	27639
2	47849963	1155580557	24.15	0	23080
3	50382502	1166457437	23.15	0	24470
4	39677845	1071969183	27.02	0	24337
5	46702114	1190856002	25.50	0	35236
6	36371416	924165687	25.41	0	27738
7	35460007	1138985986	32.12	0	28015
8	40988899	942607075	23.00	0	24815
9	56381885	1950863313	34.60	0	26295
ML552055	47661	221473	4.65	0	43
ML552056	46909	621854	13.26	0	75
ML552057	40232	3268443	81.24	0	1610
ML552058	28202	2698355	95.68	0	2040
ML552059	21634	822474	38.02	0	1302
total	395731502	10733289635	27.12	0	35236
