chrom	length	bases	mean	min	max
1	41732233	2622489944	62.84	0	32796
2	47849963	2733608086	57.13	0	12297
3	50382502	2790845505	55.39	0	20178
4	39677845	2275579432	57.35	0	15316
5	46702114	2779605888	59.52	0	36853
6	36371416	2283256041	62.78	0	58109
7	35460007	2838211011	80.04	0	41259
8	40988899	2268419718	55.34	0	15038
9	56381885	3578234820	63.46	0	15546
ML552055	47661	216831	4.55	0	79
ML552056	46909	2563695	54.65	0	420
ML552057	40232	10181945	253.08	0	3745
ML552058	28202	8338867	295.68	0	4888
ML552059	21634	1898233	87.74	0	2356
total	395731502	24193450016	61.14	0	58109
