chrom	length	bases	mean	min	max
1	41732233	1274886494	30.55	0	26359
2	47849963	1319409213	27.57	0	25327
3	50382502	1364935088	27.09	0	27723
4	39677845	1162281442	29.29	0	27533
5	46702114	1304379260	27.93	0	26478
6	36371416	1060030885	29.14	0	31069
7	35460007	1206329378	34.02	0	25815
8	40988899	1001040930	24.42	0	27833
9	56381885	2156411302	38.25	0	29344
ML552055	47661	191065	4.01	0	37
ML552056	46909	852371	18.17	0	143
ML552057	40232	26553728	660.02	0	30567
ML552058	28202	2774276	98.37	0	2165
ML552059	21634	765370	35.38	0	718
total	395731502	11880840802	30.02	0	31069
