chrom	length	bases	mean	min	max
1	41732233	1395704753	33.44	0	22985
2	47849963	1411790002	29.50	0	13930
3	50382502	1491479195	29.60	0	17552
4	39677845	1201673715	30.29	0	15240
5	46702114	1425493381	30.52	0	19910
6	36371416	1135843639	31.23	0	17692
7	35460007	1387942987	39.14	0	28363
8	40988899	999618463	24.39	0	15159
9	56381885	2016482797	35.76	0	16059
ML552055	47661	132560	2.78	0	39
ML552056	46909	997361	21.26	0	116
ML552057	40232	16464897	409.25	0	17584
ML552058	28202	4204375	149.08	0	3395
ML552059	21634	913049	42.20	0	861
total	395731502	12488741174	31.56	0	28363
