chrom	length	bases	mean	min	max
1	41732233	1126003943	26.98	0	22073
2	47849963	1096005328	22.91	0	19989
3	50382502	1097313045	21.78	0	19991
4	39677845	998808420	25.17	0	23396
5	46702114	1142102210	24.46	0	22213
6	36371416	928936331	25.54	0	27790
7	35460007	1076894689	30.37	0	20875
8	40988899	919765926	22.44	0	21622
9	56381885	1854316891	32.89	0	24776
ML552055	47661	88444	1.86	0	32
ML552056	46909	731543	15.59	0	106
ML552057	40232	9359841	232.65	0	13891
ML552058	28202	2276257	80.71	0	1770
ML552059	21634	666322	30.80	0	1039
total	395731502	10253269190	25.91	0	27790
