chrom	length	bases	mean	min	max
1	41732233	1600316613	38.35	0	21588
2	47849963	1639497673	34.26	0	20718
3	50382502	1779196448	35.31	0	22682
4	39677845	1463310315	36.88	0	22290
5	46702114	1625725717	34.81	0	22831
6	36371416	1353286512	37.21	0	25132
7	35460007	1507306971	42.51	0	30456
8	40988899	1210046041	29.52	0	23079
9	56381885	2402161680	42.61	0	24472
ML552055	47661	889235	18.66	0	69
ML552056	46909	735486	15.68	0	116
ML552057	40232	19373247	481.54	0	15160
ML552058	28202	3002189	106.45	0	2223
ML552059	21634	1352330	62.51	0	1132
total	395731502	14606200457	36.91	0	30456
