chrom	length	bases	mean	min	max
1	41732233	1942700184	46.55	0	25562
2	47849963	2000187234	41.80	0	12148
3	50382502	2050651676	40.70	0	13613
4	39677845	1704650229	42.96	0	13134
5	46702114	2043326868	43.75	0	29340
6	36371416	1679048804	46.16	0	43546
7	35460007	1998660728	56.36	0	40566
8	40988899	1630836874	39.79	0	26504
9	56381885	2685715007	47.63	0	14250
ML552055	47661	144111	3.02	0	58
ML552056	46909	1786472	38.08	0	309
ML552057	40232	7190396	178.72	0	2523
ML552058	28202	4093870	145.16	0	2436
ML552059	21634	1178930	54.49	0	1427
total	395731502	17750171383	44.85	0	43546
