chrom	length	bases	mean	min	max
1	41732233	1173983823	28.13	0	24397
2	47849963	1130780071	23.63	0	22776
3	50382502	1131215665	22.45	0	23810
4	39677845	1021326075	25.74	0	24753
5	46702114	1226763513	26.27	0	22861
6	36371416	1035381966	28.47	0	28330
7	35460007	1125908084	31.75	0	30482
8	40988899	906960200	22.13	0	24500
9	56381885	1920402750	34.06	0	25379
ML552055	47661	91195	1.91	0	33
ML552056	46909	1022926	21.81	0	203
ML552057	40232	7415805	184.33	0	12183
ML552058	28202	2339249	82.95	0	1784
ML552059	21634	682792	31.56	0	1073
total	395731502	10684274114	27.00	0	30482
