chrom	length	bases	mean	min	max
1	41732233	1713754411	41.07	0	28185
2	47849963	1773199385	37.06	0	8524
3	50382502	1770150867	35.13	0	15153
4	39677845	1484987472	37.43	0	11460
5	46702114	1893175537	40.54	0	35798
6	36371416	1397463507	38.42	0	15400
7	35460007	1624598754	45.81	0	34580
8	40988899	1493020067	36.42	0	11812
9	56381885	2354600086	41.76	0	11778
ML552055	47661	169901	3.56	0	64
ML552056	46909	1127594	24.04	0	136
ML552057	40232	10674715	265.33	0	7928
ML552058	28202	1616273	57.31	0	996
ML552059	21634	1191421	55.07	0	1494
total	395731502	15519729990	39.22	0	35798
