chrom	length	bases	mean	min	max
1	41732233	2777594426	66.56	0	36513
2	47849963	2764127754	57.77	0	24079
3	50382502	2784957828	55.28	0	28061
4	39677845	2396191053	60.39	0	24911
5	46702114	2843674963	60.89	0	38853
6	36371416	2406702762	66.17	0	29863
7	35460007	2795392870	78.83	0	43608
8	40988899	2293048833	55.94	0	26447
9	56381885	3952665866	70.11	0	27640
ML552055	47661	2187956	45.91	0	106
ML552056	46909	1695603	36.15	0	126
ML552057	40232	12166012	302.40	0	4924
ML552058	28202	9492118	336.58	0	8397
ML552059	21634	2071634	95.76	0	1491
total	395731502	25041969678	63.28	0	43608
