chrom	length	bases	mean	min	max
1	41732233	1769655470	42.41	0	32729
2	47849963	1950707341	40.77	0	27536
3	50382502	1902536578	37.76	0	16187
4	39677845	1468714215	37.02	0	7116
5	46702114	1973044025	42.25	0	19004
6	36371416	1630595276	44.83	0	13418
7	35460007	2020821004	56.99	0	30061
8	40988899	1409491325	34.39	0	9037
9	56381885	2351037005	41.70	0	10997
ML552055	47661	104469	2.19	0	30
ML552056	46909	891281	19.00	0	162
ML552057	40232	10683736	265.55	0	6471
ML552058	28202	8202689	290.85	0	4906
ML552059	21634	1240126	57.32	0	1600
total	395731502	16497724540	41.69	0	32729
